# WordPress blogi → blog.ksa.ee redirects
# Yoast SEO Premium → Redirects → Import (CSV)

old_url,new_url,type
/blogi/%d0%bb%d0%b0%d0%b7%d0%b5%d1%80%d0%bd%d0%b0%d1%8f-%d0%bf%d1%80%d0%be%d1%86%d0%b5%d0%b4%d1%83%d1%80%d0%b0-%d0%ba%d0%b0%d0%ba-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%be%d0%b2%d0%b8%d1%82%d1%8c,https://blog.ksa.ee/%d0%bb%d0%b0%d0%b7%d0%b5%d1%80%d0%bd%d0%b0%d1%8f-%d0%bf%d1%80%d0%be%d1%86%d0%b5%d0%b4%d1%83%d1%80%d0%b0-%d0%ba%d0%b0%d0%ba-%d0%b2%d0%be%d1%81%d1%81%d1%82%d0%b0%d0%bd%d0%be%d0%b2%d0%b8%d1%82%d1%8c,301
/blogi/%d0%bb%d0%be%d0%be%d1%80%d0%b0-%d1%8d%d0%bb%d0%b8%d0%b8%d1%81%d0%b5-%d0%ba%d0%b0%d0%b0%d1%80%d0%b5%d0%bb%d1%81%d0%be%d0%bd-%d0%bb%d0%b0%d0%b7%d0%b5%d1%80%d0%bd%d0%b0%d1%8f-%d0%be%d0%bf%d0%b5%d1%80,https://blog.ksa.ee/%d0%bb%d0%be%d0%be%d1%80%d0%b0-%d1%8d%d0%bb%d0%b8%d0%b8%d1%81%d0%b5-%d0%ba%d0%b0%d0%b0%d1%80%d0%b5%d0%bb%d1%81%d0%be%d0%bd-%d0%bb%d0%b0%d0%b7%d0%b5%d1%80%d0%bd%d0%b0%d1%8f-%d0%be%d0%bf%d0%b5%d1%80,301
/blogi/%d0%bc%d1%8b-%d0%be%d1%82%d0%ba%d1%80%d1%8b%d0%bb%d0%b8-%d0%bd%d0%be%d0%b2%d1%83%d1%8e-%d0%ba%d0%bb%d0%b8%d0%bd%d0%b8%d0%ba%d1%83-%d0%b2-%d1%82%d0%b0%d1%80%d1%82%d1%83,https://blog.ksa.ee/%d0%bc%d1%8b-%d0%be%d1%82%d0%ba%d1%80%d1%8b%d0%bb%d0%b8-%d0%bd%d0%be%d0%b2%d1%83%d1%8e-%d0%ba%d0%bb%d0%b8%d0%bd%d0%b8%d0%ba%d1%83-%d0%b2-%d1%82%d0%b0%d1%80%d1%82%d1%83,301
/blogi/%d0%bc%d1%8f%d1%80%d1%82-%d1%82%d0%b0%d0%bc%d0%bc%d0%b5%d0%b0%d1%80%d1%83-%d0%b6%d0%b8%d0%b7%d0%bd%d1%8c-%d0%bf%d0%be%d1%81%d0%bb%d0%b5-%d0%bf%d1%80%d0%be%d1%86%d0%b5%d0%b4%d1%83%d1%80%d1%8b-%d0%b1,https://blog.ksa.ee/%d0%bc%d1%8f%d1%80%d1%82-%d1%82%d0%b0%d0%bc%d0%bc%d0%b5%d0%b0%d1%80%d1%83-%d0%b6%d0%b8%d0%b7%d0%bd%d1%8c-%d0%bf%d0%be%d1%81%d0%bb%d0%b5-%d0%bf%d1%80%d0%be%d1%86%d0%b5%d0%b4%d1%83%d1%80%d1%8b-%d0%b1,301
/blogi/%d0%bd%d0%b0%d0%b7%d0%b0%d0%b4-%d0%b2-%d1%88%d0%ba%d0%be%d0%bb%d1%83-%d0%b8-%d0%be%d1%84%d0%b8%d1%81-%d0%ba%d0%b0%d0%ba-%d0%b7%d0%b0%d0%b1%d0%be%d1%82%d0%b8%d1%82%d1%8c%d1%81%d1%8f-%d0%be-%d1%81,https://blog.ksa.ee/%d0%bd%d0%b0%d0%b7%d0%b0%d0%b4-%d0%b2-%d1%88%d0%ba%d0%be%d0%bb%d1%83-%d0%b8-%d0%be%d1%84%d0%b8%d1%81-%d0%ba%d0%b0%d0%ba-%d0%b7%d0%b0%d0%b1%d0%be%d1%82%d0%b8%d1%82%d1%8c%d1%81%d1%8f-%d0%be-%d1%81,301
/blogi/%d0%be%d0%bf%d1%82%d0%be%d0%bc%d0%b5%d1%82%d1%80%d0%b8%d1%81%d1%82-ksa-%d1%85%d0%b5%d0%bb%d0%b5%d0%bd%d0%b0-%d0%b8-%d0%b5%d1%91-%d1%81%d1%82%d1%80%d0%b0%d1%81%d1%82%d1%8c-%d0%ba-%d0%bd%d0%b0%d1%80,https://blog.ksa.ee/%d0%be%d0%bf%d1%82%d0%be%d0%bc%d0%b5%d1%82%d1%80%d0%b8%d1%81%d1%82-ksa-%d1%85%d0%b5%d0%bb%d0%b5%d0%bd%d0%b0-%d0%b8-%d0%b5%d1%91-%d1%81%d1%82%d1%80%d0%b0%d1%81%d1%82%d1%8c-%d0%ba-%d0%bd%d0%b0%d1%80,301
/blogi/%d0%be%d1%81%d0%ba%d0%b0%d1%80-%d0%bf%d1%83%d0%bd%d0%b3%d0%b0-%d0%bc%d0%b5%d1%87%d1%82%d0%b0%d0%b9-%d0%bf%d0%be-%d0%ba%d1%80%d1%83%d0%bf%d0%bd%d0%be%d0%bc%d1%83-%d0%b8%d0%bb%d0%b8-%d0%bd%d0%b5,https://blog.ksa.ee/%d0%be%d1%81%d0%ba%d0%b0%d1%80-%d0%bf%d1%83%d0%bd%d0%b3%d0%b0-%d0%bc%d0%b5%d1%87%d1%82%d0%b0%d0%b9-%d0%bf%d0%be-%d0%ba%d1%80%d1%83%d0%bf%d0%bd%d0%be%d0%bc%d1%83-%d0%b8%d0%bb%d0%b8-%d0%bd%d0%b5,301
/blogi/%d0%be%d1%81%d0%bd%d0%be%d0%b2%d0%b0%d1%82%d0%b5%d0%bb%d1%8c-ksa-%d0%b8-%d0%be%d1%84%d1%82%d0%b0%d0%bb%d1%8c%d0%bc%d0%be%d0%bb%d0%be%d0%b3-%d0%b4%d0%be%d0%ba%d1%82%d0%be%d1%80-%d1%85%d0%b0%d0%b0%d0%b2,https://blog.ksa.ee/%d0%be%d1%81%d0%bd%d0%be%d0%b2%d0%b0%d1%82%d0%b5%d0%bb%d1%8c-ksa-%d0%b8-%d0%be%d1%84%d1%82%d0%b0%d0%bb%d1%8c%d0%bc%d0%be%d0%bb%d0%be%d0%b3-%d0%b4%d0%be%d0%ba%d1%82%d0%be%d1%80-%d1%85%d0%b0%d0%b0%d0%b2,301
/blogi/%d0%bf%d0%b5%d0%b2%d0%b8%d1%86%d0%b0-inger-%d1%8f-%d0%bd%d0%b5-%d0%b2%d0%b5%d1%80%d1%8e-%d1%81%d0%b2%d0%be%d0%b8%d0%bc-%d0%b3%d0%bb%d0%b0%d0%b7%d0%b0%d0%bc-%d0%b6%d0%b8%d0%b7%d0%bd%d1%8c,https://blog.ksa.ee/%d0%bf%d0%b5%d0%b2%d0%b8%d1%86%d0%b0-inger-%d1%8f-%d0%bd%d0%b5-%d0%b2%d0%b5%d1%80%d1%8e-%d1%81%d0%b2%d0%be%d0%b8%d0%bc-%d0%b3%d0%bb%d0%b0%d0%b7%d0%b0%d0%bc-%d0%b6%d0%b8%d0%b7%d0%bd%d1%8c,301
/blogi/%d0%bf%d0%be%d1%87%d0%b5%d0%bc%d1%83-%d0%b2%d1%81%d1%91-%d0%b1%d0%be%d0%bb%d1%8c%d1%88%d0%b5-%d0%b3%d0%b5%d0%b9%d0%bc%d0%b5%d1%80%d0%be%d0%b2-%d0%be%d1%82%d0%ba%d0%b0%d0%b7%d1%8b%d0%b2%d0%b0%d1%8e,https://blog.ksa.ee/%d0%bf%d0%be%d1%87%d0%b5%d0%bc%d1%83-%d0%b2%d1%81%d1%91-%d0%b1%d0%be%d0%bb%d1%8c%d1%88%d0%b5-%d0%b3%d0%b5%d0%b9%d0%bc%d0%b5%d1%80%d0%be%d0%b2-%d0%be%d1%82%d0%ba%d0%b0%d0%b7%d1%8b%d0%b2%d0%b0%d1%8e,301
